Data Series,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 ,1973 ,1972 ,1971 ,1970 ,1969 ,1968 ,1967 ,1966 ,1965 ,1964 ,1963 ,1962 ,1961 ,1960 ,1959 ,1958 ,1957 
  20 - 24 Years,19471,20161,20616,21226,21587,22304,22669,23260,23584,23959,23770,23363,22596,21852,20935,19983,19335,18750,18140,17093,16245,15256,14346,13647,13610,13785,14385,15082,15763,15930,16418,16765,17726,18922,20332,21648,22646,23028,23116,23106,22697,22215,21457,20517,21100,20400,19500,18500,17500,16600,15700,15100,14700,12423,10800,9800,8400,7200,7300,7900,8600,9400,10800,11100,11100,10500,9917
  25 - 29 Years,22461,22761,23161,23671,24043,23875,23510,22680,21895,21001,20183,19663,19155,18758,17926,17107,16216,15403,14726,14595,14636,15174,15741,16237,16394,16871,17209,18141,19337,20726,21800,22603,22802,22713,22433,22039,21613,20941,20158,19383,18677,17777,16877,15890,16100,15200,14600,14300,13100,11800,10900,9800,8700,7847,7700,8400,9300,10600,11000,11100,10500,10300,9900,9200,8800,8500,8145
  30 - 34 Years,24205,23666,22560,22045,21219,20443,19930,19368,18860,18019,17416,16620,15996,15468,15387,15386,15814,16392,16776,16809,17136,17527,18337,19439,20817,21907,22691,22915,22851,22620,22026,21421,20548,19618,18653,17964,17135,16357,15425,14605,13708,13087,12725,11622,11400,10500,9500,8300,8300,8900,9300,9500,9800,9642,10800,10400,10200,9800,9200,8600,8600,8300,8500,7900,7300,6500,5989
  35 - 39 Years,20540,19886,19123,18911,18139,17557,16674,16003,15401,15347,15492,15996,16564,17052,17063,17333,17651,18456,19529,20757,21802,22754,22910,22848,22603,22019,21438,20587,19686,18777,17935,16901,16005,14908,13987,13115,12539,12197,11142,9888,9134,8137,7060,7184,8500,8800,8900,9200,9500,9600,9200,9200,8800,7952,8400,8400,8300,8300,7700,7200,6500,6200,5600,5500,5100,5000,4735
  40 - 44 Years,17565,16499,15547,15288,15267,15374,15805,16347,16742,16833,17201,17540,18384,19474,20739,21744,22447,22660,22540,22333,21723,21349,20518,19623,18757,17963,16950,16056,14949,14025,12982,12281,11772,10643,9360,8660,7699,6680,6820,7326,7529,7741,7883,8115,8800,8600,8500,8300,7900,7400,7400,7400,7300,6632,6900,6400,6100,5500,5300,5000,5000,4800,4800,4300,4000,3600,3297
  45 - 49 Years,15220,15462,15753,16508,16631,17014,17308,18106,19161,20424,21463,22195,22416,22329,22104,21494,20904,20130,19298,18456,17676,16844,15956,14878,13982,12979,12268,11771,10640,9298,8473,7455,6371,6427,6832,7005,7193,7229,7378,7623,7562,7628,7588,7212,7100,7000,7000,6800,6500,6000,5700,5500,5300,4954,4800,4900,4600,4500,4200,3900,3500,3400,3000,3000,2800,2900,2779
  50 - 54 Years,16693,16826,17385,18799,20040,21023,21701,21870,21786,21576,21018,20462,19774,18971,18169,17398,16433,15582,14486,13598,12547,12057,11569,10467,9174,8371,7351,6304,6378,6665,6744,6818,6662,6592,6967,7062,7183,7292,7016,6554,6359,6349,6276,6003,5800,5400,5200,4900,4700,4600,4400,4100,3900,3526,3800,3400,3200,3000,3000,2700,2800,2800,2700,2500,2400,2100,1871
  55 - 59 Years,20492,20963,20760,21158,20993,20452,19890,19136,18336,17548,16848,15968,15149,14138,13270,12306,11633,11161,10063,8784,7982,7126,6088,6165,6460,6532,6587,6444,6365,6620,6677,6741,6931,6743,6259,5960,5945,5910,5682,5327,4969,4720,4461,4243,4200,4000,3800,3700,3300,3000,2900,2700,2600,2709,2600,2500,2500,2400,2200,2200,2000,1800,1400,1300,1400,1300,1302
  60 - 64 Years,19656,18904,17887,17643,16862,16165,15331,14528,13524,12729,11831,11169,10714,9677,8431,7674,6688,5711,5744,6013,6003,6215,6061,5961,6198,6216,6270,6458,6272,5808,5475,5453,5463,5277,4980,4598,4341,4114,3895,3739,3594,3370,3190,2962,2700,2500,2400,2300,2300,2400,2400,2200,2200,1982,1800,1600,1600,1100,1200,1200,1100,1200,1300,1300,1200,1100,931
  65 - 69 Years,15261,14311,13400,12820,12041,11160,10498,10029,9085,7900,7166,6246,5288,5325,5541,5547,5615,5438,5324,5497,5508,5685,5851,5635,5192,4857,4821,4808,4677,4407,4098,3842,3673,3471,3297,3186,2972,2786,2595,2348,2145,1984,1910,1902,2000,2000,1900,1800,1600,1500,1300,1200,1100,1020,900,900,900,1000,1000,900,900,800,600,600,500,500,558
  70 - 74 Years,10210,9532,8971,8260,7168,6493,5651,4765,4746,4958,4914,4973,4839,4731,4854,4871,4864,5023,4815,4364,4032,4082,4037,3926,3713,3446,3158,3001,2818,2659,2560,2393,2231,2129,1945,1773,1626,1534,1540,1562,1544,1455,1293,1220,na,na,na,na,na,na,na,na,na,684,na,na,na,na,na,na,na,na,na,na,na,na,406
  75 - 79 Years,5569,4802,3993,4045,4209,4170,4223,4058,3992,4068,4048,4022,4133,3948,3556,3217,3101,3019,2855,2657,2323,2430,2260,2091,1941,1835,1706,1579,1493,1368,1268,1193,1119,1150,na,na,na,na,na,na,na,na,na,548,na,na,na,na,na,na,na,na,na,295,na,na,na,na,na,na,na,na,na,na,na,na,196
  80 - 84 Years,3149,3208,3071,3055,3088,3024,2981,3095,2936,2632,2395,2229,2142,2011,1870,1691,1563,1442,1375,1283,1189,1103,968,900,822,771,700,624,678,706,736,675,582,545,na,na,na,na,na,na,na,na,na,245,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,163
  85 - 89 Years,1864,1874,1937,1866,1673,1484,1374,1311,1232,1156,1010,922,831,812,747,706,630,532,493,442,418,356,285,315,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  65 Years & Over,36882,34516,32137,30799,28863,26965,25296,23755,22499,21158,19955,18775,17540,17115,16842,16282,15985,15623,15043,14430,13646,13820,13529,12988,12135,11391,10834,10384,10032,9492,8994,8396,7848,7551,7141,6816,6223,5742,5496,5194,4868,4438,4157,4073,4100,3900,3600,3500,3300,3300,2800,2600,2400,2328,2100,2100,2200,2000,1900,1900,1900,1900,1500,1600,1500,1500,1474
  70 Years & Over,21621,20205,18737,17979,16822,15805,14798,13726,13414,13258,12789,12529,12252,11790,11301,10735,10370,10185,9719,8933,8138,8135,7678,7353,6943,6534,6013,5576,5355,5085,4896,4554,4175,4080,3844,3630,3251,2956,2901,2846,2723,2454,2247,2171,2100,1900,1700,1700,1700,1800,1500,1400,1300,1308,1200,1200,1300,1000,900,1000,1000,1100,900,1000,1000,1000,916
  75 Years & Over,11411,10673,9766,9719,9654,9312,9147,8961,8668,8300,7875,7556,7413,7059,6447,5864,5506,5162,4904,4569,4106,4053,3641,3427,3230,3088,2855,2575,2537,2426,2336,2161,1944,1951,1899,1857,1625,1422,1361,1284,1179,999,954,951,na,na,na,na,na,na,na,na,na,624,na,na,na,na,na,na,na,na,na,na,na,na,510
  80 Years & Over,5842,5871,5773,5674,5445,5142,4924,4903,4676,4232,3827,3534,3280,3111,2891,2647,2405,2143,2049,1912,1783,1623,1381,1336,1289,1253,1149,996,1044,1058,1068,968,825,801,na,na,na,na,na,na,na,na,na,403,na,na,na,na,na,na,na,na,na,329,na,na,na,na,na,na,na,na,na,na,na,na,314
  85 Years & Over,2693,2663,2702,2619,2357,2118,1943,1808,1740,1600,1432,1305,1138,1100,1021,956,842,701,674,629,594,520,413,436,467,482,449,372,366,352,332,293,243,256,na,na,na,na,na,na,na,na,na,158,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,151
  90 Years & Over,829,789,765,753,684,634,569,497,508,444,422,383,307,288,274,250,212,169,181,187,176,164,128,121,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Total Chinese,3072311,3018951,2960135,3006769,2993708,2969281,2948252,2923172,2900007,2874380,2853751,2831984,2808254,2793980,2770303,2721779,2686997,2656358,2626723,2599813,2572607,2589525,2552077,2513847,2482640,2448687,2410107,2371807,2332878,2293201,2253587,2213002,2172300,2127872,2059130,2021529,1988046,1962855,1937090,1908792,1881299,1851239,1820036,1787816,1832400,1808200,1785300,1758800,1733700,1707100,1676800,1643400,1611100,1551446,1555000,1531400,1504400,1473800,1439500,1405500,1369300,1333000,1295000,1251600,1204900,1149500,1090596
  0 - 4 Years,114052,116443,117749,122479,125403,126229,129452,130177,127953,126663,127411,127748,126390,128313,129577,127687,127794,128802,134353,139795,143912,150508,155480,157684,162898,168909,171302,172373,174443,172883,175365,173545,166015,157406,153173,144135,141299,144885,147544,146513,148082,145915,146160,145357,152300,157500,166200,170200,174400,173700,171300,168300,167300,169025,188100,197600,204700,210000,213800,220000,223900,227900,226700,222200,216300,207500,197758
  5 - 9 Years,136495,137702,136897,137495,136620,137097,136570,135257,136134,135766,134501,134579,135660,141864,146933,149990,155181,161204,163974,167938,173778,178530,179162,181045,180124,182381,179926,171793,163174,159182,148862,145534,148444,150357,149669,151728,150061,151107,150749,152373,155919,163101,166182,169341,172800,171000,168900,168800,171900,179900,188600,195000,200700,201322,217800,222100,225700,224800,221000,215800,209600,202100,196900,191500,185600,178200,170174
  10 - 14 Years,140209,137485,134484,138559,138611,136796,136448,137225,143109,148099,152444,158134,164707,168026,172292,177611,179117,179962,181943,180769,183641,183323,175600,167030,162685,152041,148388,151198,153547,153822,156322,155153,156743,156372,156021,159312,166150,168856,171746,172275,169927,167597,167735,171481,181600,190600,197400,203400,207900,213400,215400,218400,220200,217198,215400,209100,202400,197600,192200,187000,182200,176600,172300,159600,140400,125900,109703
  15 - 19 Years,139943,138096,136973,145574,150821,154198,159568,165774,168641,172689,179429,182494,183702,186139,185136,186689,182958,175099,166645,162266,151924,149398,152502,154767,154883,157247,155766,157267,157121,157990,161669,169108,172094,175214,173546,170467,167574,167253,170851,177131,185689,191921,197601,201740,217800,220400,222300,223900,222600,218500,214200,208100,199200,189663,186600,181500,176800,171800,159900,142000,128700,114000,102400,102100,107300,107600,107156
  20 - 24 Years,157068,160974,165593,171053,175115,180656,183474,184609,187266,186771,190460,189212,181822,175721,172285,159829,155585,158764,160353,160062,163118,166618,167619,167332,168545,172335,180444,184060,187986,189135,186548,182361,179605,180568,178319,186270,191746,197634,202227,206966,209929,212129,213619,210795,221400,216600,210700,202400,195300,190200,184800,179300,174900,156368,141500,128600,113600,101700,102300,107500,109500,111300,110800,106400,99400,91900,85913
  25 - 29 Years,201742,203865,202048,208751,209293,213123,212862,204843,197951,193787,184455,182756,188686,195571,197870,194852,191618,192817,192914,194754,199011,209433,208971,211441,213390,211001,207460,204824,205791,208544,213786,216239,218667,219632,215766,218120,220290,223056,222156,218696,213162,205468,195370,185779,192000,186600,181100,177000,164200,145400,132100,117100,104800,100685,106500,109500,111300,109800,106500,99800,93100,89300,86100,82600,80700,79300,76611
  30 - 34 Years,239946,235623,223430,221135,217976,206873,204446,208889,211777,211976,215075,213459,215309,216679,216941,216112,221874,222472,224623,225333,222627,224226,221187,222467,225826,230627,232351,234783,235132,236129,236303,236269,236660,233790,225164,220360,213823,204976,196492,189233,182595,176277,171496,158513,147700,133500,119100,105800,106100,111800,113000,112200,109400,101899,99500,92700,88700,85500,82800,80800,80800,79200,77000,72600,68700,63800,59344
  35 - 39 Years,218911,211701,211036,219113,219703,221887,219561,220701,220671,220906,223574,230350,231657,234760,234595,228953,225259,222621,224073,227579,233607,241992,244834,245278,245843,245074,244084,244293,241609,237698,232427,225759,216499,206977,195598,188405,181704,177006,163881,145276,131301,116664,102981,102680,112500,113300,112400,108900,104000,97800,90500,88700,86600,82344,80100,79600,79000,75900,71900,68900,64300,61400,58200,58100,57800,56900,55917
  40 - 44 Years,225867,218903,214933,221128,222036,224416,230806,231775,234287,234352,231365,228257,225693,227333,230084,234533,238161,241495,242125,243309,243232,247207,247481,244946,241204,235911,229133,219945,211029,203622,196291,189302,183861,169475,147600,133755,118908,105008,104822,109854,110087,109006,105207,99484,96600,89500,86900,85700,83000,80200,79000,77500,75400,70445,66900,63500,60100,58900,58200,57600,57500,57300,58200,57600,57200,57400,57277
  45 - 49 Years,224241,226428,223273,232379,233017,229736,225935,223222,224201,227540,233414,237372,240938,241561,242168,241116,241026,241759,240034,236836,232207,229072,220235,211454,204273,197102,190133,184879,170967,151299,137111,121712,107138,106525,110157,109852,108528,104168,97568,92423,85888,83387,82334,79812,78700,77600,75800,73700,70300,66300,63200,59700,58500,56732,56800,55900,56400,57500,56100,56900,57600,58000,58300,58200,57300,54100,51888
  50 - 54 Years,226781,219064,213160,220144,223988,229401,232687,235906,236497,237697,237503,237159,237735,235918,233183,228448,222167,213519,204746,197626,190113,188145,183048,169486,150222,136096,120915,106576,106065,110732,110112,108450,103369,95511,89904,83890,81471,81044,79266,76189,74808,73027,70775,67511,65100,61400,58200,56200,55400,54800,54500,53700,53800,53208,54400,55900,55700,56000,56200,54800,53500,52100,49800,47600,45800,43700,41617
  55 - 59 Years,224398,224132,224515,230987,232635,232490,231813,232481,230757,227374,222954,217054,208954,200577,194125,186779,180619,175703,162583,144133,130554,118222,104161,103619,108208,107722,106241,101324,93657,88363,82155,79497,79321,78116,74222,72383,70694,68621,65746,62308,58582,55376,52909,51772,52100,51600,51200,51500,51000,51000,50900,51100,52700,52415,51300,49000,48100,45700,44600,43600,41700,40700,38200,37000,35000,32800,30509
  60 - 64 Years,225777,222808,221146,224025,221156,216752,210800,202871,194874,188427,181827,175754,171094,158333,140160,126830,112606,98939,98466,102808,101970,102077,97412,89929,84870,78929,76391,76088,74818,71252,69199,67428,65526,63090,59601,56228,53141,50547,49176,48586,47740,47149,46967,46430,47000,47000,47100,47500,47900,47300,46700,45300,43200,40619,38800,37500,36100,34600,33100,31600,29400,27900,26600,23700,22800,21800,20461
  65 - 69 Years,208122,200570,191408,187097,181242,174682,168582,163881,151385,134123,121587,107912,94754,94035,97967,97035,95395,90803,83530,78509,72565,71200,70895,69621,66206,64193,62375,60529,58189,55238,52147,49433,47000,45600,44717,43795,43022,42588,42012,41550,41295,41199,41142,41241,41400,40600,39500,37500,35500,34400,32500,31700,29900,28498,26500,25200,23300,21300,20100,18900,18400,17300,16700,16200,15600,14900,13264
  70 - 74 Years,164345,157288,151706,142318,126015,113955,100894,88238,87310,90889,89985,88482,84360,77347,72212,66312,63615,63131,61679,58282,56170,55462,53645,51447,48709,45738,43060,40663,39113,38453,37666,37059,36859,36675,36038,35839,35505,35102,34950,34200,33272,32056,30479,28520,na,na,na,na,na,na,na,na,na,16141,na,na,na,na,na,na,na,na,na,na,na,na,7414
  75 - 79 Years,102934,90362,78476,78319,81375,80247,78725,74926,68563,63831,58427,55620,54877,53511,50161,48115,46219,44151,41794,38734,34822,35598,33054,31126,30213,29285,28730,28472,28361,28131,28162,28279,28217,28139,na,na,na,na,na,na,na,na,na,16242,na,na,na,na,na,na,na,na,na,8985,na,na,na,na,na,na,na,na,na,na,na,na,3640
  80 - 84 Years,66421,65132,61994,57006,52993,48056,45437,44620,43155,40331,38500,36811,35055,33048,30684,28080,26090,24266,22944,22191,21415,20935,20142,19433,19187,19184,19157,19214,19134,18890,18412,17696,16845,15650,na,na,na,na,na,na,na,na,na,7040,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1398
  85 - 89 Years,34427,32422,32144,31146,28865,27237,25927,24662,23250,21502,19626,18224,16765,15672,14885,14194,13587,13114,12583,12058,11697,11605,11231,10865,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  65 Years & Over,596881,565727,534898,513947,487334,459627,433830,409442,385889,362333,339339,317656,295907,283185,274954,262350,253032,243202,229891,216605,202913,200774,194385,187369,179670,173313,167575,162403,157544,152551,147438,142645,138359,134839,130392,126623,122658,118696,114869,110968,107590,104223,100700,97121,94800,91600,88000,83800,79700,76800,72600,69000,64400,59523,51300,48900,45800,44000,40900,39200,37500,35200,33500,32400,30600,28600,26268
  70 Years & Over,388759,365157,343490,326850,306092,284945,265248,245561,234504,228210,217752,209744,201153,189150,176987,165315,157637,152399,146361,138096,130348,129574,123490,117748,113464,109120,105200,101874,99355,97313,95291,93212,91359,89239,85675,82828,79636,76108,72857,69418,66295,63024,59558,55880,53400,51000,48500,46300,44200,42400,40100,37300,34500,31025,24800,23700,22500,22700,20800,20300,19100,17900,16800,16200,15000,13700,13004
  75 Years & Over,224414,207869,191784,184532,180077,170990,164354,157323,147194,137321,127767,121262,116793,111803,104775,99003,94022,89268,84682,79814,74178,74112,69845,66301,64755,63382,62140,61211,60242,58860,57625,56153,54500,52564,49637,46989,44131,41006,37907,35218,33023,30968,29079,27360,na,na,na,na,na,na,na,na,na,14884,na,na,na,na,na,na,na,na,na,na,na,na,5590
  80 Years & Over,121480,117507,113308,106213,98702,90743,85629,82397,78631,73490,69340,65642,61916,58292,54614,50888,47803,45117,42888,41080,39356,38514,36791,35175,34542,34097,33410,32739,31881,30729,29463,27874,26283,24425,na,na,na,na,na,na,na,na,na,11118,na,na,na,na,na,na,na,na,na,5899,na,na,na,na,na,na,na,na,na,na,na,na,1950
  85 Years & Over,55059,52375,51314,49207,45709,42687,40192,37777,35476,33159,30840,28831,26861,25244,23930,22808,21713,20851,19944,18889,17941,17579,16649,15742,15355,14913,14253,13525,12747,11839,11051,10178,9438,8775,na,na,na,na,na,na,na,na,na,4078,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,552
  90 Years & Over,20632,19953,19170,18061,16844,15450,14265,13115,12226,11657,11214,10607,10096,9572,9045,8614,8126,7737,7361,6831,6244,5974,5418,4877,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Total Male Chinese,1489028,1466366,1440854,1461344,1455708,1445375,1436284,1425244,1415303,1403927,1395183,1385606,1375665,1370083,1360224,1339596,1324715,1310873,1297849,1285557,1273256,1283362,1267019,1249662,1235326,1219890,1202346,1184861,1166321,1148073,1130006,1111147,1092546,1071055,1035650,1016798,1000007,987443,974620,960507,946832,931820,916208,900259,922900,910700,899300,886000,873500,860200,845100,828400,812100,782175,784900,774700,762100,746700,729500,712300,694200,676500,657600,636000,612600,584900,555663
  0 - 4 Years,58341,59435,60083,62421,64062,64571,66394,66943,65896,65120,65562,65510,64775,65689,66333,65512,65541,66097,69091,72121,74416,77931,80612,81700,84343,87292,88678,89027,90157,89417,90828,89846,86238,81827,79633,75047,73639,75570,76787,76360,77270,76045,76078,75750,79100,81600,86100,88100,90400,90100,88800,87300,86400,87399,96500,100700,105200,107500,109400,112500,114500,117000,116400,114500,111500,107600,102848
  5 - 9 Years,69732,70743,70576,70791,70210,70539,70115,69259,69716,69555,68932,68931,69469,72775,75693,77407,80261,83458,84826,86897,89706,92222,92376,93365,92995,94290,92974,89085,84759,82673,77455,75849,77440,78220,77863,78946,77949,78368,78288,78971,80644,84415,86019,87647,89500,88500,87300,87200,88700,92800,97200,100300,103100,103778,111500,113900,115800,115700,113800,111100,108300,104900,101900,99200,96200,92400,88108
  10 - 14 Years,72176,70661,69117,70928,70933,70044,69850,70290,73335,76144,78468,81512,84973,86617,88765,91386,92408,92692,93737,93195,94820,94574,90917,86660,84409,79022,77229,78757,79779,79929,81221,80414,81052,80899,80678,82250,85862,87324,88869,89199,87894,86547,86418,88184,93700,98300,101500,104600,106900,109800,111300,112800,113700,111872,110700,108500,105200,102300,99200,96900,94400,91300,89400,82700,72900,65500,57342
  15 - 19 Years,71514,70863,70471,74493,77349,79286,82160,85383,86728,88722,91804,93414,93766,94837,94303,95430,93962,90325,86152,83901,78671,77331,78985,80036,80103,81348,80417,81061,81024,81424,83209,87084,88696,90345,89837,88281,86641,86215,87717,90791,95119,98404,101505,104106,111900,113300,114500,115200,114300,111900,109800,106800,102300,97691,96500,93700,91400,88900,83200,73400,66600,59500,53300,53400,55800,55600,55187
  20 - 24 Years,80180,82578,85234,87309,89204,92077,93506,93681,94775,94189,95779,95079,91656,88489,86757,81017,79340,80880,81407,80550,81372,83454,83940,83872,84305,86110,90356,92169,94008,94681,93447,91760,90979,91919,90810,94596,97427,100494,103296,105994,107875,109169,110086,108437,113000,110700,107600,103300,99800,97300,94600,91800,89300,79595,73000,66600,59400,53000,53300,55500,56200,56800,56600,54100,50200,46200,42965
  25 - 29 Years,100394,101417,100487,103369,103367,105003,104440,100380,96831,94600,89948,88944,92011,94997,95875,94660,92841,92976,92941,93594,95657,101055,101128,102406,103367,102231,100900,100279,101281,103607,107143,108959,110581,111603,109710,111336,112550,114190,113619,111711,109061,105071,99659,94537,97800,95000,92100,89900,83500,73800,67000,59100,52900,50788,54900,56500,57100,56000,54000,50600,46500,44700,42800,40700,39800,39200,37851
  30 - 34 Years,116317,114178,108285,106485,104571,98895,97484,99734,100938,101060,102421,101426,102101,102963,103096,102857,105761,106164,107419,107696,106427,107453,106624,108157,110920,114311,115990,117621,118173,118936,119528,119777,120407,119013,114470,112290,109045,104346,99913,96083,92365,88962,86445,79979,74900,67500,60300,53700,53500,56100,56600,56200,55100,51471,50200,46500,44200,42600,40900,39900,39600,39200,38100,36300,34300,31600,29491
  35 - 39 Years,104388,100950,101016,104060,104225,105120,103832,104108,104242,104419,105906,109368,110390,111936,111983,109393,107817,107083,108770,111676,115777,120578,122471,123223,123612,123523,123092,123513,122091,120225,118030,115010,110438,105766,99733,95701,92000,89454,82828,73374,66144,58853,51960,51484,56600,56700,56300,54600,52500,49400,46000,45100,43600,41335,39300,39500,38900,37300,35700,34200,31900,30500,28900,28600,28200,28100,27647
  40 - 44 Years,107069,103804,101866,104362,104660,105892,109212,110080,111298,111470,110102,108947,108378,110140,112671,116022,118525,120698,121539,122292,122591,124446,124778,123391,121498,119203,116137,111644,107387,103798,99977,96356,93465,86057,74611,67416,60037,53054,52701,55092,55041,54480,52760,50135,48800,45400,43900,43100,41500,40000,39400,38600,37200,34643,33000,31000,29700,29100,28400,28500,28500,28400,28900,28600,28800,29200,29498
  45 - 49 Years,105731,107284,106235,110281,110551,109048,107610,106909,108315,111126,115135,117903,120103,120999,121456,121208,121204,121706,120706,119106,117158,115731,111402,107176,103718,99949,96291,93586,86551,76609,69255,61602,54273,53712,55166,54856,54159,52182,49166,46657,43406,42008,41154,39747,39200,38600,37400,36500,34600,32600,31000,28900,28300,27344,27500,27100,27500,28400,27700,28500,29200,29800,30300,30500,30000,28700,27357
  50 - 54 Years,107439,104174,101983,106051,109012,112715,115156,117173,118039,118717,118916,118759,119137,118135,116776,114804,111834,107586,103409,99903,95945,94862,92178,85271,75547,68244,60766,53549,53090,55303,54870,54021,51702,48091,45222,42268,40911,40374,39282,37675,36829,35688,34528,32798,31700,29700,28200,27000,26600,26200,25800,25500,25900,25532,26700,27900,28200,28400,29200,28500,27800,27100,25600,24800,23900,22800,22085
  55 - 59 Years,109743,110303,110960,114766,115628,115822,115478,115891,114879,113178,111290,108646,104682,100700,97542,93728,90371,87711,81083,71859,64815,58903,51814,51302,53421,53054,52256,50051,46639,44083,41066,39626,39248,38341,36254,35164,34023,32889,31317,29678,27866,26291,25035,24394,24400,24200,24100,24300,24100,24400,24100,24500,25700,25710,25900,24800,24400,23200,22600,22100,21500,21000,19700,19100,18400,17000,15776
  60 - 64 Years,111653,110206,109470,110715,109243,107316,104638,100764,97035,93875,90404,87027,84527,78134,69071,62207,55376,48538,48031,49988,49450,49365,47330,43968,41589,38705,37326,36948,35982,34165,32894,31691,30634,29266,27629,26106,24614,23349,22681,22189,21795,21607,21581,21415,21800,21900,22000,22400,22900,22700,22400,22100,21000,19981,18800,18600,17500,17200,16800,15700,14600,13500,13200,11400,11000,10500,9679
  65 - 69 Years,101774,98408,93978,92021,89176,85687,82321,79855,73661,65144,58695,52217,45669,45019,46706,46098,45188,43159,39958,37565,34702,33886,33540,32615,30792,29609,28425,27341,26067,24736,23437,22202,21076,20438,19779,19245,18963,18776,18531,18482,18474,18502,18691,19001,19100,18900,18600,17700,16700,16200,15300,14900,14000,13429,12600,11600,10700,9700,8700,8500,8300,7400,7200,7000,6700,6400,5544
  70 - 74 Years,79020,75364,72410,67776,59862,53792,47722,41479,40737,42164,41562,40696,38943,35928,33488,30691,29234,28788,27778,26045,24834,24273,23198,22050,20806,19602,18464,17411,16776,16267,15789,15539,15427,15360,15203,15267,15144,15101,15206,14931,14651,14297,13627,12689,na,na,na,na,na,na,na,na,na,6798,na,na,na,na,na,na,na,na,na,na,na,na,2714
  75 - 79 Years,46916,41221,35478,35191,36413,35684,34843,33270,30617,28394,25900,24440,23859,22977,21353,20166,19077,17947,16677,15403,13782,14267,13186,12437,11936,11488,11296,11183,11130,11139,11241,11311,11382,11478,na,na,na,na,na,na,na,na,na,6539,na,na,na,na,na,na,na,na,na,3237,na,na,na,na,na,na,na,na,na,na,na,na,1120
  80 - 84 Years,27736,27092,26004,24009,22303,20059,18718,18180,17255,15940,15046,14098,13191,12183,11217,10235,9463,8786,8342,7980,7589,7464,7160,6907,6899,6955,6985,7080,7172,7134,6977,6792,6515,5984,na,na,na,na,na,na,na,na,na,2375,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,345
  85 - 89 Years,13052,12099,11881,11349,10381,9702,8972,8372,7720,7062,6335,5887,5360,5034,4702,4423,4284,4149,3925,3833,3746,3754,3713,3659,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  65 Years & Over,274351,259770,245071,235313,222693,209047,196409,184649,173276,161752,150516,140140,129697,123672,119903,113965,109474,104959,98738,92779,86451,85457,82464,79135,75502,72608,69933,67570,65404,63222,61083,59150,57393,55996,54035,52542,51152,49635,48159,46733,45525,44281,42980,41646,40500,39300,38000,36100,34200,33100,31100,29400,27600,25036,20400,19400,17600,17100,15300,14900,14600,12800,12500,12100,11600,10500,9829
  70 Years & Over,172577,161362,151093,143292,133517,123360,114088,104794,99615,96608,91821,87923,84028,78653,73197,67867,64286,61800,58780,55214,51749,51571,48924,46520,44710,42999,41508,40229,39337,38486,37646,36948,36317,35558,34256,33297,32189,30859,29628,28251,27051,25779,24289,22645,21400,20400,19400,18400,17500,16900,15800,14500,13600,11607,7800,7800,6900,7400,6600,6400,6300,5400,5300,5100,4900,4100,4285
  75 Years & Over,93557,85998,78683,75516,73655,69568,66366,63315,58878,54444,50259,47227,45085,42725,39709,37176,35052,33012,31002,29169,26915,27298,25726,24470,23904,23397,23044,22818,22561,22219,21857,21409,20890,20198,19053,18030,17045,15758,14422,13320,12400,11482,10662,9956,na,na,na,na,na,na,na,na,na,4809,na,na,na,na,na,na,na,na,na,na,na,na,1571
  80 Years & Over,46641,44777,43205,40325,37242,33884,31523,30045,28261,26050,24359,22787,21226,19748,18356,17010,15975,15065,14325,13766,13133,13031,12540,12033,11968,11909,11748,11635,11431,11080,10616,10098,9508,8720,na,na,na,na,na,na,na,na,na,3417,na,na,na,na,na,na,na,na,na,1572,na,na,na,na,na,na,na,na,na,na,na,na,451
